name,sample_type,sample_type2,location,cruise,station,time,lat,long,distance,sed_depth,water_depth,salinity,temperature,turbidity,density,fluorescence,oxygen
NS12_03,bottom_water,bottom_water,North Svalbard,KH21-234,NS12,July,81.00186566,18.29672468,60281.72,205,195,34.8494,1.584,,,0.0699,7.9135
NS12_04,sediment,sediment,North Svalbard,KH21-234,NS12,July,81.00186566,18.29672468,60281.72,205,205,,,,,,
NS38_01,surface_water,surface_water,North Svalbard,KH21-234,NS38,July,80.74651951,4.709213517,163024.46,658.23,5,33.7566,-1.4782,,,5.9539,10.5131
NS38_02,100m_water,100m_water,North Svalbard,KH21-234,NS38,July,80.74651951,4.709213517,163024.46,658.23,100,34.9175,2.5753,,,0.0449,7.5572
NS38_03,bottom_water,bottom_water,North Svalbard,KH21-234,NS38,July,80.74651951,4.709213517,163024.46,658.23,648,34.9025,-0.1931,,,0.0156,7.2197
NS38_04,sediment,sediment,North Svalbard,KH21-234,NS38,July,80.74651951,4.709213517,163024.46,658.23,658.23,34.901,-0.2112,,,0.0134,7.1764
NS43_01,surface_water,surface_water,North Svalbard,KH21-234,NS43,July,80.38975847,7.549653575,97610.08,685.315,5,33.1802,-0.356,,,0.1107,9.617
NS43_02,100m_water,100m_water,North Svalbard,KH21-234,NS43,July,80.38975847,7.549653575,97610.08,685.315,100,34.9863,3.469,,,0.0237,7.4388
NS43_03,bottom_water,bottom_water,North Svalbard,KH21-234,NS43,July,80.38975847,7.549653575,97610.08,685.315,675,34.9016,-0.2227,,,0.016,7.2522
NS43_04,sediment,sediment,North Svalbard,KH21-234,NS43,July,80.38975847,7.549653575,97610.08,685.315,685.315,34.9005,-0.3557,,,0.0135,7.1172
NS45_01,surface_water,surface_water,North Svalbard,KH21-234,NS45,July,80.09731368,7.629350642,77907.92,525,5,32.2191,-0.2129,,,0.1316,8.9334
NS45_02,100m_water,100m_water,North Svalbard,KH21-234,NS45,July,80.09731368,7.629350642,77907.92,525,100,34.9434,2.8176,,,0.3029,7.5672
NS45_03,bottom_water,bottom_water,North Svalbard,KH21-234,NS45,July,80.09731368,7.629350642,77907.92,525,515,34.9019,-0.066,,,0.0156,7.2719
NS45_04,sediment,sediment,North Svalbard,KH21-234,NS45,July,80.09731368,7.629350642,77907.92,525,525,34.9009,-0.1844,,,0.0145,7.2201
NS47_02,100m_water,100m_water,North Svalbard,KH21-234,NS47,July,79.59700778,7.726467933,59301.98,769.01,100,34.9552,3.3799,,,,
NS47_03,bottom_water,bottom_water,North Svalbard,KH21-234,NS47,July,79.59700778,7.726467933,59301.98,769.01,759,34.9029,-0.0303,,,,
NS47_04,sediment,sediment,North Svalbard,KH21-234,NS47,July,79.59700778,7.726467933,59301.98,769.01,769.01,34.9029,-0.0337,,,0.023,7.3079
