"","merged_taxon","total_read","HR04_01","HR04_02","HR04_03","HR04_04","HR07_01","HR07_02","HR07_03","HR07_04","IS01_01","IS01_02","IS01_03","IS01_04","IS02_01","IS02_02","IS02_03","IS02_04","KH01_01","KH01_02","KH01_03","KH01_04","KH02_01","KH02_02","KH02_03","KH02_04","KH03_01","KH03_02","KH03_03","KH03_04","KH05_01","KH05_02","KH05_03","KH07_01","KH07_02","KH07_04","KH08_04","KH09_01","KH09_02","KH09_03","KH09_04","KH10_01","KH10_02","KH10_03","KH10_04","KV01_01","KV01_02","KV01_03","KV01_04","NC01_01","NC01_02","NC01_03","NC01_04","NS01_01","NS01_02","NS01_03","NS01_04","NS02_02","NS02_03","NS02_04","NS04_01","NS04_02","NS04_03","NS04_04","NS06_01","NS06_02","NS06_03","NS06_04","NS10_01","NS10_02","NS10_03","NS10_04","NS12_01","NS12_02","NS12_03","NS12_04","NS38_01","NS38_02","NS38_03","NS38_04","NS43_01","NS43_02","NS43_03","NS43_04","NS45_01","NS45_02","NS45_03","NS45_04","NS47_04"
"1","Globothalamea;",56748,18,28,19,14,23,0,0,16,0,34,1,127,0,931,281,1789,5,5,1997,1650,14,10,18,10,0,1,0,4,1,10,1707,0,0,32,22,0,2,0,9,1015,119,1065,2762,0,0,220,263,1,1,290,934,0,5,636,2724,87,1,128,0,0,32,91,0,2,147,0,0,0,1,5562,0,495,610,5226,0,18,1300,957,0,0,11298,254,2,3,5414,2137,4170
"2","Globothalamea;Bolivina_sp",223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,10,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,12,0,112,0,0,0,34,0,0,0,6,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,1,0,0,0,0,0,0,0,0,0
"3","Globothalamea;Bolivinellina_pseudopunctata",3654,0,0,0,790,0,0,0,110,0,0,0,530,0,0,0,0,0,0,0,20,0,0,0,1,0,0,0,5,0,0,0,0,0,3,1,0,0,0,1,0,0,0,1,0,0,0,43,0,0,0,2,0,0,0,0,0,0,906,0,0,0,192,0,0,0,935,0,0,0,10,0,0,0,91,0,0,0,0,0,0,0,0,0,0,0,4,9
"4","Globothalamea;Buccella_sp",92,0,1,0,0,4,0,0,5,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0,0,0,0,0,0,1,0,60,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5","Globothalamea;Bulimina_sp",27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
"6","Globothalamea;Cassidulina_laevigata",125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
"7","Globothalamea;Cassidulina_sp",3457,0,0,0,22,0,0,0,2,1,0,0,4,0,0,0,0,1,0,2859,15,3,0,0,0,0,0,0,2,16,0,145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,28,0,0,7,0,0,0,1,0,0,0,9,0,0,0,21,0,0,0,10,0,0,46,48,0,0,79,2,0,0,105,16,13
"8","Globothalamea;Cibicides_fletcheri",40055,562,9384,786,289,0,2120,2001,41,0,2380,74,0,6,22,409,54,2373,0,0,1973,549,53,0,0,22,11,15,0,12179,1,0,14,0,0,0,0,0,0,0,0,0,0,7,1708,0,833,0,19,14,9,0,0,0,0,0,0,0,82,0,0,0,11,0,0,0,119,0,0,0,376,0,0,0,1392,0,0,0,12,5,0,0,0,0,0,0,0,150
"9","Globothalamea;Cibicidoides_lobatulus",12360,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9626,197,165,94,0,0,8,9,1137,13,0,84,31,0,0,0,30,0,0,0,0,0,3,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,832,27,0,0,88,0,0
"10","Globothalamea;Cibicidoides_sp",2557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0,0,0,0,0,0,82,0,0,0,0,0,1076,26,0,0,0,20,0,0,0,36,0,0,0,0,0,0,0,1038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,86,0,0,0,0,5,0,0,126,0,0
"11","Globothalamea;Cribroelphidium_sp",29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,7,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,13,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0
"12","Globothalamea;Cribrostomoides_crassimargo",81411,11847,401,77,7,8610,144,169,3,0,2606,30,0,0,9639,29,0,25,0,119,17,1,2,0,2,15,2,0,0,267,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,55,0,5,11,0,2,1143,45110,399,0,0,0,22,0,14,34,19,0,0,0,0,0,0,244,8,0,0,259,0,5,5,56,4,1
"13","Globothalamea;Cribrostomoides_sp",3012,89,92,12,0,120,47,55,3,0,45,5,0,0,378,464,3,0,0,1,13,1,0,30,0,0,0,1,0,0,0,99,0,0,0,0,0,0,0,0,0,0,0,8,0,9,1217,0,0,0,0,26,0,0,0,0,0,0,0,0,0,64,17,0,0,0,0,0,0,0,8,0,0,0,2,0,0,32,0,0,0,58,0,0,0,113,0,0
"14","Globothalamea;Discanomalina_coronata",139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,34,0,0,7,0,0,0,24,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,36,0,0
"15","Globothalamea;Eggerella_sp",1713,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1318,370,0,0,0,2,0,0,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"16","Globothalamea;Elphidium_excavatum",3878,0,10,4,398,0,0,0,60,0,2,700,244,0,0,1,148,0,0,0,7,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,26,0,0,1,1,0,0,370,112,0,0,9,0,0,20,26,0,150,622,8,0,19,43,102,0,1,2,124,0,1,166,19,0,0,157,6,0,0,290,9,9
"17","Globothalamea;Epistominella_exigua",165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0
"18","Globothalamea;Epistominella_sp",2520,0,0,0,462,0,0,0,91,0,0,0,454,0,0,0,2,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,322,25,11,0,0,0,0,20,0,0,0,6,2,0,0,3,1,0,539,0,0,0,135,0,0,0,96,0,0,0,49,0,0,0,270,0,0,0,7,0,0,0,1,0,0,0,3,0
"19","Globothalamea;Globobulimina_auriculata",88125,0,288,4122,171,0,0,0,15,0,78,49,69,1,200,29,2,0,0,4,100,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,32,27,1,1,50,60,19,0,2,0,23,5,35,0,0,0,0,2,1,4,33830,8875,71,311,38,7207,141,4,36,13,0,0,21905,4291,24,0,4928,1047,13,0,0,0,0,0,0,0,0,0,0,0,0,0
"20","Globothalamea;Globobulimina_sp",266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,16,153,0,0,0,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21","Globothalamea;Hyalinea_balthica",150,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0,0,0,0,0,0,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"22","Globothalamea;Melonis_affinis",707,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,268,434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
"23","Globothalamea;Melonis_barleeanum",17359,0,15,0,4,0,0,0,0,0,0,0,5,0,0,0,63,0,0,0,1264,0,0,0,5,0,0,0,0,0,0,0,0,0,3,5,0,0,0,3,0,0,0,61,0,0,107,169,0,0,0,82,0,0,0,508,0,0,73,0,0,0,25,0,0,0,0,0,0,0,549,0,0,0,226,0,14,311,331,0,1,9799,196,0,0,3243,195,102
"24","Globothalamea;Melonis_pompilioides",154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,70,0,0,0,0,0,0,2,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"25","Globothalamea;Nonionella_auris",62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"26","Globothalamea;Nonionellina_labradorica",77231,0,154,2089,3413,73,148,0,1732,4249,2311,720,2279,62,84,4,226,0,0,0,586,0,0,0,6,0,0,0,4,0,0,0,0,0,14,12,0,0,0,9,6,0,0,0,38845,0,52,4590,20,1,9,1,0,0,0,11,0,103,9857,0,0,35,1364,0,0,0,3141,0,0,0,199,0,0,2,787,0,0,0,14,5,6,0,1,0,2,0,5,0
"27","Globothalamea;Nonionoides_grateloupii",195,0,0,0,56,0,0,0,8,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,0,0,0,18,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
