ASV_ID,group,taxon1,taxon2,taxon3,taxon4,taxon5,mean_similarity
ASV4970,unassigned,unassigned,unassigned,,,,
ASV4971,unassigned,unassigned,unassigned,,,,
ASV4972,benthic,Monothalamea,CladeM,CladeM_X,CladeM_XX,CladeM_XX_sp,0.993
ASV4973,unassigned,unassigned,unassigned,,,,
ASV4974,unassigned,unassigned,unassigned,,,,
ASV4975,unassigned,unassigned,unassigned,,,,
ASV4982,unassigned,unassigned,unassigned,,,,
ASV4987,benthic,Monothalamea,CladeM,CladeM_X,CladeM_XX,CladeM_XX_sp,0.986
ASV4989,unassigned,unassigned,unassigned,,,,
ASV4990,unassigned,unassigned,unassigned,,,,
ASV4993,unassigned,unassigned,unassigned,,,,
ASV4994,unassigned,unassigned,unassigned,,,,
ASV4995,unassigned,unassigned,unassigned,,,,
ASV4997,unassigned,unassigned,unassigned,,,,
ASV4998,unassigned,unassigned,unassigned,,,,
ASV5003,benthic,Monothalamea,CladeB,Bowseriidae,,,0.944
ASV5004,unassigned,unassigned,unassigned,,,,
ASV5005,unassigned,unassigned,unassigned,,,,
ASV5006,unassigned,unassigned,unassigned,,,,
ASV5007,benthic,Monothalamea,CladeA,CladeA_X,CladeA_XX,CladeA_XX_sp,0.909
ASV5008,unassigned,unassigned,unassigned,,,,
ASV5009,unassigned,unassigned,unassigned,,,,
ASV5012,unassigned,unassigned,unassigned,,,,
ASV5013,unassigned,unassigned,unassigned,,,,
ASV5017,benthic,Monothalamea,Monothalamea_X,Monothalamea_XX,Leannia,Leannia_sp,0.968
ASV5019,unassigned,unassigned,unassigned,,,,
ASV5025,benthic,Monothalamea,CladeM,CladeM_X,CladeM_XX,CladeM_XX_sp,0.932
ASV5032,unassigned,unassigned,unassigned,,,,
ASV5033,benthic,Monothalamea,CladeG,Shepheardellidae,Nemogullmia,Nemogullmia_sp,0.9
ASV5035,unassigned,unassigned,unassigned,,,,
ASV5036,unassigned,unassigned,unassigned,,,,
ASV5037,unassigned,unassigned,unassigned,,,,
